2020-03-12 12:02:00.651137 , 699
2020-03-12 13:05:34.278883 , 871
2020-03-12 14:00:20.768537 , 1027
2020-03-13 15:08:26.733087 , 1563
2020-03-13 16:09:47.549384 , 1722
2020-03-13 17:09:47.549382 , 2085
2020-03-13 18:09:47.549386 , 2409
2020-03-13 19:09:47.249382 , 2737
2020-03-13 20:09:47.749322 , 5263
2020-03-13 21:09:47.249353 , 6833
2020-03-13 22:09:47.449382 , 7363
2020-03-13 23:09:47.259384 , 10045
2020-03-14 00:09:47.249384 , 12687
2020-03-14 00:09:47.234938 , 18023
2020-03-14 01:09:47.523242 , 25725
2020-03-14 02:09:47.519387 , 58272
2020-03-14 03:09:47.329383 , 97195
2020-03-14 04:09:47.659384 , 146344
2020-03-14 05:09:47.549327 , 187245
2020-03-14 06:09:47.649384 , 264838
2020-03-13 07:09:47.349341 , 304573
2020-03-13 08:09:47.649374 , 592732
2020-03-13 09:09:47.749324 , 104832
2020-03-13 10:09:47.949424 , 254542
2020-03-13 11:09:47.344934 , 946385
